obs,icdcode,icdlabel,cc,addcc
2615,G40109,"Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures, not intractable, without status epilepticus",120,
2616,G40111,"Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures, intractable, with status epilepticus",120,
2617,G40119,"Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures, intractable, without status epilepticus",120,
2618,G40201,"Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures, not intractable, with status epilepticus",120,
2619,G40209,"Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures, not intractable, without status epilepticus",120,
2620,G40211,"Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures, intractable, with status epilepticus",120,
2621,G40219,"Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures, intractable, without status epilepticus",120,
2622,G40301,"Generalized idiopathic epilepsy and epileptic syndromes, not intractable, with status epilepticus",120,
2623,G40309,"Generalized idiopathic epilepsy and epileptic syndromes, not intractable, without status epilepticus",120,
2624,G40311,"Generalized idiopathic epilepsy and epileptic syndromes, intractable, with status epilepticus",120,
2625,G40319,"Generalized idiopathic epilepsy and epileptic syndromes, intractable, without status epilepticus",120,
2626,G40401,"Other generalized epilepsy and epileptic syndromes, not intractable, with status epilepticus",120,
2627,G40409,"Other generalized epilepsy and epileptic syndromes, not intractable, without status epilepticus",120,
2628,G40411,"Other generalized epilepsy and epileptic syndromes, intractable, with status epilepticus",120,
2629,G40419,"Other generalized epilepsy and epileptic syndromes, intractable, without status epilepticus",120,
2630,G40501,"Epileptic seizures related to external causes, not intractable, with status epilepticus",120,
2631,G40509,"Epileptic seizures related to external causes, not intractable, without status epilepticus",120,
2632,G40801,"Other epilepsy, not intractable, with status epilepticus",120,
2633,G40802,"Other epilepsy, not intractable, without status epilepticus",120,
2634,G40803,"Other epilepsy, intractable, with status epilepticus",120,
2635,G40804,"Other epilepsy, intractable, without status epilepticus",120,
2636,G40811,"Lennox-Gastaut syndrome, not intractable, with status epilepticus",120,
2637,G40812,"Lennox-Gastaut syndrome, not intractable, without status epilepticus",120,
2638,G40813,"Lennox-Gastaut syndrome, intractable, with status epilepticus",120,
2639,G40814,"Lennox-Gastaut syndrome, intractable, without status epilepticus",120,
2640,G40821,"Epileptic spasms, not intractable, with status epilepticus",120,
2641,G40822,"Epileptic spasms, not intractable, without status epilepticus",120,
2642,G40823,"Epileptic spasms, intractable, with status epilepticus",120,
2643,G40824,"Epileptic spasms, intractable, without status epilepticus",120,
2644,G4089,Other seizures,120,
2645,G40901,"Epilepsy, unspecified, not intractable, with status epilepticus",120,
2646,G40909,"Epilepsy, unspecified, not intractable, without status epilepticus",120,
2647,G40911,"Epilepsy, unspecified, intractable, with status epilepticus",120,
2648,G40919,"Epilepsy, unspecified, intractable, without status epilepticus",120,
2649,G40A01,"Absence epileptic syndrome, not intractable, with status epilepticus",120,
2650,G40A09,"Absence epileptic syndrome, not intractable, without status epilepticus",120,
2651,G40A11,"Absence epileptic syndrome, intractable, with status epilepticus",120,
2652,G40A19,"Absence epileptic syndrome, intractable, without status epilepticus",120,
2653,G40B01,"Juvenile myoclonic epilepsy, not intractable, with status epilepticus",120,
2654,G40B09,"Juvenile myoclonic epilepsy, not intractable, without status epilepticus",120,
2655,G40B11,"Juvenile myoclonic epilepsy, intractable, with status epilepticus",120,
2656,G40B19,"Juvenile myoclonic epilepsy, intractable, without status epilepticus",120,
2657,G546,Phantom limb syndrome with pain,254,
2658,G547,Phantom limb syndrome without pain,254,
2659,G610,Guillain-Barre syndrome,115,
2660,G611,Serum neuropathy,115,
2661,G6181,Chronic inflammatory demyelinating polyneuritis,115,
2662,G6182,Multifocal motor neuropathy,115,
2663,G6189,Other inflammatory polyneuropathies,115,
2664,G619,"Inflammatory polyneuropathy, unspecified",115,
2665,G620,Drug-induced polyneuropathy,115,
2666,G621,Alcoholic polyneuropathy,115,
2667,G622,Polyneuropathy due to other toxic agents,115,
2668,G6281,Critical illness polyneuropathy,115,
2669,G6282,Radiation-induced polyneuropathy,115,
2670,G63,Polyneuropathy in diseases classified elsewhere,115,
2671,G650,Sequelae of Guillain-Barre syndrome,115,
2672,G651,Sequelae of other inflammatory polyneuropathy,115,
2673,G652,Sequelae of toxic polyneuropathy,115,
2674,G7000,Myasthenia gravis without (acute) exacerbation,115,
2675,G7001,Myasthenia gravis with (acute) exacerbation,115,
2676,G701,Toxic myoneural disorders,115,
2677,G702,Congenital and developmental myasthenia,115,
2678,G7080,"Lambert-Eaton syndrome, unspecified",115,
2679,G7081,Lambert-Eaton syndrome in disease classified elsewhere,115,
2680,G7089,Other specified myoneural disorders,115,
2681,G709,"Myoneural disorder, unspecified",115,
2682,G710,Muscular dystrophy,117,
2683,G7100,"Muscular dystrophy, unspecified",117,
2684,G7101,Duchenne or Becker muscular dystrophy,117,
2685,G7102,Facioscapulohumeral muscular dystrophy,117,
2686,G7109,Other specified muscular dystrophies,117,
2687,G7111,Myotonic muscular dystrophy,117,
2688,G712,Congenital myopathies,117,
2689,G731,Lambert-Eaton syndrome in neoplastic disease,115,
2690,G733,Myasthenic syndromes in other diseases classified elsewhere,115,
2691,G800,Spastic quadriplegic cerebral palsy,112,
2692,G801,Spastic diplegic cerebral palsy,113,
2693,G802,Spastic hemiplegic cerebral palsy,113,
2694,G803,Athetoid cerebral palsy,113,
2695,G804,Ataxic cerebral palsy,113,
2696,G808,Other cerebral palsy,113,
2697,G809,"Cerebral palsy, unspecified",113,
2698,G8100,Flaccid hemiplegia affecting unspecified side,150,
2699,G8101,Flaccid hemiplegia affecting right dominant side,150,
2700,G8102,Flaccid hemiplegia affecting left dominant side,150,
2701,G8103,Flaccid hemiplegia affecting right nondominant side,150,
2702,G8104,Flaccid hemiplegia affecting left nondominant side,150,
2703,G8110,Spastic hemiplegia affecting unspecified side,150,
2704,G8111,Spastic hemiplegia affecting right dominant side,150,
2705,G8112,Spastic hemiplegia affecting left dominant side,150,
2706,G8113,Spastic hemiplegia affecting right nondominant side,150,
2707,G8114,Spastic hemiplegia affecting left nondominant side,150,
2708,G8190,"Hemiplegia, unspecified affecting unspecified side",150,
2709,G8191,"Hemiplegia, unspecified affecting right dominant side",150,
2710,G8192,"Hemiplegia, unspecified affecting left dominant side",150,
2711,G8193,"Hemiplegia, unspecified affecting right nondominant side",150,
2712,G8194,"Hemiplegia, unspecified affecting left nondominant side",150,
2713,G8220,"Paraplegia, unspecified",109,
2714,G8221,"Paraplegia, complete",109,
2715,G8222,"Paraplegia, incomplete",109,
2716,G8250,"Quadriplegia, unspecified",107,
2717,G8251,"Quadriplegia, C1-C4 complete",107,
2718,G8252,"Quadriplegia, C1-C4 incomplete",107,
2719,G8253,"Quadriplegia, C5-C7 complete",107,
2720,G8254,"Quadriplegia, C5-C7 incomplete",107,
2721,G830,Diplegia of upper limbs,151,
2722,G8310,Monoplegia of lower limb affecting unspecified side,151,
2723,G8311,Monoplegia of lower limb affecting right dominant side,151,
2724,G8312,Monoplegia of lower limb affecting left dominant side,151,
2725,G8313,Monoplegia of lower limb affecting right nondominant side,151,
2726,G8314,Monoplegia of lower limb affecting left nondominant side,151,
2727,G8320,Monoplegia of upper limb affecting unspecified side,151,
2728,G8321,Monoplegia of upper limb affecting right dominant side,151,
2729,G8322,Monoplegia of upper limb affecting left dominant side,151,
2730,G8323,Monoplegia of upper limb affecting right nondominant side,151,
2731,G8324,Monoplegia of upper limb affecting left nondominant side,151,
2732,G8330,"Monoplegia, unspecified affecting unspecified side",151,
2733,G8331,"Monoplegia, unspecified affecting right dominant side",151,
2734,G8332,"Monoplegia, unspecified affecting left dominant side",151,
2735,G8333,"Monoplegia, unspecified affecting right nondominant side",151,
2736,G8334,"Monoplegia, unspecified affecting left nondominant side",151,
2737,G834,Cauda equina syndrome,110,
2738,G835,Locked-in state,122,
2739,G8381,Brown-Sequard syndrome,151,
2740,G8382,Anterior cord syndrome,151,
2741,G8383,Posterior cord syndrome,151,
2742,G8384,Todd's paralysis (postepileptic),151,
2743,G8389,Other specified paralytic syndromes,151,
2744,G839,"Paralytic syndrome, unspecified",151,
2745,G901,Familial dysautonomia [Riley-Day],114,
2746,G903,Multi-system degeneration of the autonomic nervous system,119,
2747,G910,Communicating hydrocephalus,121,
2748,G911,Obstructive hydrocephalus,121,
2749,G912,(Idiopathic) normal pressure hydrocephalus,121,
2750,G913,"Post-traumatic hydrocephalus, unspecified",121,
2751,G914,Hydrocephalus in diseases classified elsewhere,121,
2752,G918,Other hydrocephalus,121,
2753,G919,"Hydrocephalus, unspecified",121,
2754,G931,"Anoxic brain damage, not elsewhere classified",122,
2755,G935,Compression of brain,122,
2756,G936,Cerebral edema,122,
2757,G937,Reye's syndrome,119,
2758,G950,Syringomyelia and syringobulbia,110,
2759,G9511,Acute infarction of spinal cord (embolic) (nonembolic),110,
2760,G9519,Other vascular myelopathies,110,
2761,G9520,Unspecified cord compression,110,
2762,G9529,Other cord compression,110,
2763,G9581,Conus medullaris syndrome,110,
2764,G9589,Other specified diseases of spinal cord,110,
2765,G959,"Disease of spinal cord, unspecified",110,
2766,G992,Myelopathy in diseases classified elsewhere,110,
2767,H49811,"Kearns-Sayre syndrome, right eye",28,
2768,H49812,"Kearns-Sayre syndrome, left eye",28,
2769,H49813,"Kearns-Sayre syndrome, bilateral",28,
2770,H49819,"Kearns-Sayre syndrome, unspecified eye",28,
2771,I0981,Rheumatic heart failure,130,
2772,I110,Hypertensive heart disease with heart failure,130,
2773,I120,Hypertensive chronic kidney disease with stage 5 chronic kidney disease or end stage renal disease,187,
2774,I130,"Hypertensive heart and chronic kidney disease with heart failure and stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease",130,
2775,I1311,"Hypertensive heart and chronic kidney disease without heart failure, with stage 5 chronic kidney disease, or end stage renal disease",187,
2776,I132,"Hypertensive heart and chronic kidney disease with heart failure and with stage 5 chronic kidney disease, or end stage renal disease",130,187
2777,I200,Unstable angina,132,
2778,I2101,ST elevation (STEMI) myocardial infarction involving left main coronary artery,131,
2779,I2102,ST elevation (STEMI) myocardial infarction involving left anterior descending coronary artery,131,
2780,I2109,ST elevation (STEMI) myocardial infarction involving other coronary artery of anterior wall,131,
2781,I2111,ST elevation (STEMI) myocardial infarction involving right coronary artery,131,
2782,I2119,ST elevation (STEMI) myocardial infarction involving other coronary artery of inferior wall,131,
2783,I2121,ST elevation (STEMI) myocardial infarction involving left circumflex coronary artery,131,
2784,I2129,ST elevation (STEMI) myocardial infarction involving other sites,131,
2785,I213,ST elevation (STEMI) myocardial infarction of unspecified site,131,
2786,I214,Non-ST elevation (NSTEMI) myocardial infarction,131,
2787,I219,"Acute myocardial infarction, unspecified",131,
2788,I21A1,Myocardial infarction type 2,131,
2789,I21A9,Other myocardial infarction type,131,
2790,I220,Subsequent ST elevation (STEMI) myocardial infarction of anterior wall,131,
2791,I221,Subsequent ST elevation (STEMI) myocardial infarction of inferior wall,131,
2792,I222,Subsequent non-ST elevation (NSTEMI) myocardial infarction,131,
2793,I228,Subsequent ST elevation (STEMI) myocardial infarction of other sites,131,
2794,I229,Subsequent ST elevation (STEMI) myocardial infarction of unspecified site,131,
2795,I230,Hemopericardium as current complication following acute myocardial infarction,132,
2796,I231,Atrial septal defect as current complication following acute myocardial infarction,132,
2797,I232,Ventricular septal defect as current complication following acute myocardial infarction,132,
2798,I233,Rupture of cardiac wall without hemopericardium as current complication following acute myocardial infarction,132,
2799,I234,Rupture of chordae tendineae as current complication following acute myocardial infarction,131,
2800,I235,Rupture of papillary muscle as current complication following acute myocardial infarction,131,
2801,I236,"Thrombosis of atrium, auricular appendage, and ventricle as current complications following acute myocardial infarction",132,
2802,I237,Postinfarction angina,132,
2803,I238,Other current complications following acute myocardial infarction,132,
2804,I240,Acute coronary thrombosis not resulting in myocardial infarction,132,
2805,I241,Dressler's syndrome,132,
2806,I248,Other forms of acute ischemic heart disease,132,
2807,I249,"Acute ischemic heart disease, unspecified",132,
2808,I25110,Atherosclerotic heart disease of native coronary artery with unstable angina pectoris,132,
2809,I25700,"Atherosclerosis of coronary artery bypass graft(s), unspecified, with unstable angina pectoris",132,
2810,I25710,Atherosclerosis of autologous vein coronary artery bypass graft(s) with unstable angina pectoris,132,
2811,I25720,Atherosclerosis of autologous artery coronary artery bypass graft(s) with unstable angina pectoris,132,
2812,I25730,Atherosclerosis of nonautologous biological coronary artery bypass graft(s) with unstable angina pectoris,132,
2813,I25750,Atherosclerosis of native coronary artery of transplanted heart with unstable angina,132,
2814,I25760,Atherosclerosis of bypass graft of coronary artery of transplanted heart with unstable angina,132,
2815,I25790,Atherosclerosis of other coronary artery bypass graft(s) with unstable angina pectoris,132,
2816,I2601,Septic pulmonary embolism with acute cor pulmonale,130,156
2817,I2602,Saddle embolus of pulmonary artery with acute cor pulmonale,130,156
2818,I2609,Other pulmonary embolism with acute cor pulmonale,130,156
2819,I2690,Septic pulmonary embolism without acute cor pulmonale,156,
2820,I2692,Saddle embolus of pulmonary artery without acute cor pulmonale,156,
2821,I2699,Other pulmonary embolism without acute cor pulmonale,156,
2822,I270,Primary pulmonary hypertension,130,
2823,I271,Kyphoscoliotic heart disease,130,
2824,I2720,"Pulmonary hypertension, unspecified",130,
2825,I2721,Secondary pulmonary arterial hypertension,130,
2826,I2722,Pulmonary hypertension due to left heart disease,130,
2827,I2723,Pulmonary hypertension due to lung diseases and hypoxia,130,
2828,I2724,Chronic thromboembolic pulmonary hypertension,130,
2829,I2729,Other secondary pulmonary hypertension,130,
2830,I2781,Cor pulmonale (chronic),130,
2831,I2782,Chronic pulmonary embolism,156,
2832,I2783,Eisenmenger's syndrome,130,
2833,I2789,Other specified pulmonary heart diseases,130,
2834,I279,"Pulmonary heart disease, unspecified",130,
2835,I280,Arteriovenous fistula of pulmonary vessels,130,
2836,I281,Aneurysm of pulmonary artery,130,
2837,I288,Other diseases of pulmonary vessels,130,
2838,I289,"Disease of pulmonary vessels, unspecified",130,
2839,I300,Acute nonspecific idiopathic pericarditis,135,
2840,I301,Infective pericarditis,135,
2841,I308,Other forms of acute pericarditis,135,
2842,I309,"Acute pericarditis, unspecified",135,
2843,I310,Chronic adhesive pericarditis,135,
2844,I311,Chronic constrictive pericarditis,135,
2845,I312,"Hemopericardium, not elsewhere classified",135,
2846,I313,Pericardial effusion (noninflammatory),135,
2847,I314,Cardiac tamponade,135,
2848,I318,Other specified diseases of pericardium,135,
2849,I319,"Disease of pericardium, unspecified",135,
2850,I32,Pericarditis in diseases classified elsewhere,135,
2851,I330,Acute and subacute infective endocarditis,135,
2852,I339,"Acute and subacute endocarditis, unspecified",135,
2853,I400,Infective myocarditis,135,
2854,I401,Isolated myocarditis,135,
2855,I408,Other acute myocarditis,135,
2856,I409,"Acute myocarditis, unspecified",135,
2857,I41,Myocarditis in diseases classified elsewhere,135,
2858,I420,Dilated cardiomyopathy,130,
2859,I421,Obstructive hypertrophic cardiomyopathy,130,
2860,I422,Other hypertrophic cardiomyopathy,130,
2861,I423,Endomyocardial (eosinophilic) disease,130,
2862,I424,Endocardial fibroelastosis,130,
2863,I425,Other restrictive cardiomyopathy,130,
2864,I426,Alcoholic cardiomyopathy,130,
2865,I427,Cardiomyopathy due to drug and external agent,130,
2866,I428,Other cardiomyopathies,130,
2867,I429,"Cardiomyopathy, unspecified",130,
2868,I43,Cardiomyopathy in diseases classified elsewhere,130,
2869,I442,"Atrioventricular block, complete",142,
2870,I462,Cardiac arrest due to underlying cardiac condition,127,
2871,I468,Cardiac arrest due to other underlying condition,127,
2872,I469,"Cardiac arrest, cause unspecified",127,
2873,I470,Re-entry ventricular arrhythmia,142,
2874,I471,Supraventricular tachycardia,142,
2875,I472,Ventricular tachycardia,142,
2876,I479,"Paroxysmal tachycardia, unspecified",142,
2877,I480,Paroxysmal atrial fibrillation,142,
2878,I481,Persistent atrial fibrillation,142,
2879,I482,Chronic atrial fibrillation,142,
2880,I483,Typical atrial flutter,142,
2881,I484,Atypical atrial flutter,142,
2882,I4891,Unspecified atrial fibrillation,142,
2883,I4892,Unspecified atrial flutter,142,
2884,I4901,Ventricular fibrillation,127,
2885,I4902,Ventricular flutter,127,
2886,I492,Junctional premature depolarization,142,
2887,I495,Sick sinus syndrome,142,
2888,I501,"Left ventricular failure, unspecified",130,
2889,I5020,Unspecified systolic (congestive) heart failure,130,
2890,I5021,Acute systolic (congestive) heart failure,130,
2891,I5022,Chronic systolic (congestive) heart failure,130,
2892,I5023,Acute on chronic systolic (congestive) heart failure,130,
2893,I5030,Unspecified diastolic (congestive) heart failure,130,
2894,I5031,Acute diastolic (congestive) heart failure,130,
2895,I5032,Chronic diastolic (congestive) heart failure,130,
2896,I5033,Acute on chronic diastolic (congestive) heart failure,130,
2897,I5040,Unspecified combined systolic (congestive) and diastolic (congestive) heart failure,130,
2898,I5041,Acute combined systolic (congestive) and diastolic (congestive) heart failure,130,
2899,I5042,Chronic combined systolic (congestive) and diastolic (congestive) heart failure,130,
2900,I5043,Acute on chronic combined systolic (congestive) and diastolic (congestive) heart failure,130,
2901,I50810,"Right heart failure, unspecified",130,
2902,I50811,Acute right heart failure,130,
2903,I50812,Chronic right heart failure,130,
2904,I50813,Acute on chronic right heart failure,130,
2905,I50814,Right heart failure due to left heart failure,130,
2906,I5082,Biventricular heart failure,130,
2907,I5083,High output heart failure,130,
2908,I5084,End stage heart failure,130,
2909,I5089,Other heart failure,130,
2910,I509,"Heart failure, unspecified",130,
2911,I511,"Rupture of chordae tendineae, not elsewhere classified",131,
2912,I512,"Rupture of papillary muscle, not elsewhere classified",131,
2913,I514,"Myocarditis, unspecified",130,
2914,I515,Myocardial degeneration,130,
2915,I6000,Nontraumatic subarachnoid hemorrhage from unspecified carotid siphon and bifurcation,145,
2916,I6001,Nontraumatic subarachnoid hemorrhage from right carotid siphon and bifurcation,145,
2917,I6002,Nontraumatic subarachnoid hemorrhage from left carotid siphon and bifurcation,145,
2918,I6010,Nontraumatic subarachnoid hemorrhage from unspecified middle cerebral artery,145,
2919,I6011,Nontraumatic subarachnoid hemorrhage from right middle cerebral artery,145,
2920,I6012,Nontraumatic subarachnoid hemorrhage from left middle cerebral artery,145,
2921,I602,Nontraumatic subarachnoid hemorrhage from anterior communicating artery,145,
2922,I6030,Nontraumatic subarachnoid hemorrhage from unspecified posterior communicating artery,145,
2923,I6031,Nontraumatic subarachnoid hemorrhage from right posterior communicating artery,145,
2924,I6032,Nontraumatic subarachnoid hemorrhage from left posterior communicating artery,145,
2925,I604,Nontraumatic subarachnoid hemorrhage from basilar artery,145,
2926,I6050,Nontraumatic subarachnoid hemorrhage from unspecified vertebral artery,145,
2927,I6051,Nontraumatic subarachnoid hemorrhage from right vertebral artery,145,
2928,I6052,Nontraumatic subarachnoid hemorrhage from left vertebral artery,145,
2929,I606,Nontraumatic subarachnoid hemorrhage from other intracranial arteries,145,
2930,I607,Nontraumatic subarachnoid hemorrhage from unspecified intracranial artery,145,
2931,I608,Other nontraumatic subarachnoid hemorrhage,145,
2932,I609,"Nontraumatic subarachnoid hemorrhage, unspecified",145,
2933,I610,"Nontraumatic intracerebral hemorrhage in hemisphere, subcortical",145,
2934,I611,"Nontraumatic intracerebral hemorrhage in hemisphere, cortical",145,
2935,I612,"Nontraumatic intracerebral hemorrhage in hemisphere, unspecified",145,
2936,I613,Nontraumatic intracerebral hemorrhage in brain stem,145,
2937,I614,Nontraumatic intracerebral hemorrhage in cerebellum,145,
2938,I615,"Nontraumatic intracerebral hemorrhage, intraventricular",145,
2939,I616,"Nontraumatic intracerebral hemorrhage, multiple localized",145,
2940,I618,Other nontraumatic intracerebral hemorrhage,145,
2941,I619,"Nontraumatic intracerebral hemorrhage, unspecified",145,
2942,I6200,"Nontraumatic subdural hemorrhage, unspecified",145,
2943,I6201,Nontraumatic acute subdural hemorrhage,145,
2944,I6202,Nontraumatic subacute subdural hemorrhage,145,
2945,I6203,Nontraumatic chronic subdural hemorrhage,145,
2946,I621,Nontraumatic extradural hemorrhage,145,
2947,I629,"Nontraumatic intracranial hemorrhage, unspecified",145,
2948,I6300,Cerebral infarction due to thrombosis of unspecified precerebral artery,146,
2949,I63011,Cerebral infarction due to thrombosis of right vertebral artery,146,
2950,I63012,Cerebral infarction due to thrombosis of left vertebral artery,146,
2951,I63013,Cerebral infarction due to thrombosis of bilateral vertebral arteries,146,
2952,I63019,Cerebral infarction due to thrombosis of unspecified vertebral artery,146,
2953,I6302,Cerebral infarction due to thrombosis of basilar artery,146,
2954,I63031,Cerebral infarction due to thrombosis of right carotid artery,146,
2955,I63032,Cerebral infarction due to thrombosis of left carotid artery,146,
2956,I63033,Cerebral infarction due to thrombosis of bilateral carotid arteries,146,
2957,I63039,Cerebral infarction due to thrombosis of unspecified carotid artery,146,
2958,I6309,Cerebral infarction due to thrombosis of other precerebral artery,146,
2959,I6310,Cerebral infarction due to embolism of unspecified precerebral artery,146,
2960,I63111,Cerebral infarction due to embolism of right vertebral artery,146,
2961,I63112,Cerebral infarction due to embolism of left vertebral artery,146,
2962,I63113,Cerebral infarction due to embolism of bilateral vertebral arteries,146,
2963,I63119,Cerebral infarction due to embolism of unspecified vertebral artery,146,
2964,I6312,Cerebral infarction due to embolism of basilar artery,146,
2965,I63131,Cerebral infarction due to embolism of right carotid artery,146,
2966,I63132,Cerebral infarction due to embolism of left carotid artery,146,
2967,I63133,Cerebral infarction due to embolism of bilateral carotid arteries,146,
2968,I63139,Cerebral infarction due to embolism of unspecified carotid artery,146,
2969,I6319,Cerebral infarction due to embolism of other precerebral artery,146,
2970,I6320,Cerebral infarction due to unspecified occlusion or stenosis of unspecified precerebral arteries,146,
2971,I63211,Cerebral infarction due to unspecified occlusion or stenosis of right vertebral artery,146,
2972,I63212,Cerebral infarction due to unspecified occlusion or stenosis of left vertebral artery,146,
2973,I63213,Cerebral infarction due to unspecified occlusion or stenosis of bilateral vertebral arteries,146,
2974,I63219,Cerebral infarction due to unspecified occlusion or stenosis of unspecified vertebral artery,146,
2975,I6322,Cerebral infarction due to unspecified occlusion or stenosis of basilar artery,146,
2976,I63231,Cerebral infarction due to unspecified occlusion or stenosis of right carotid arteries,146,
2977,I63232,Cerebral infarction due to unspecified occlusion or stenosis of left carotid arteries,146,
2978,I63233,Cerebral infarction due to unspecified occlusion or stenosis of bilateral carotid arteries,146,
2979,I63239,Cerebral infarction due to unspecified occlusion or stenosis of unspecified carotid artery,146,
2980,I6329,Cerebral infarction due to unspecified occlusion or stenosis of other precerebral arteries,146,
2981,I6330,Cerebral infarction due to thrombosis of unspecified cerebral artery,146,
2982,I63311,Cerebral infarction due to thrombosis of right middle cerebral artery,146,
2983,I63312,Cerebral infarction due to thrombosis of left middle cerebral artery,146,
2984,I63313,Cerebral infarction due to thrombosis of bilateral middle cerebral arteries,146,
2985,I63319,Cerebral infarction due to thrombosis of unspecified middle cerebral artery,146,
2986,I63321,Cerebral infarction due to thrombosis of right anterior cerebral artery,146,
2987,I63322,Cerebral infarction due to thrombosis of left anterior cerebral artery,146,
2988,I63323,Cerebral infarction due to thrombosis of bilateral anterior cerebral arteries,146,
2989,I63329,Cerebral infarction due to thrombosis of unspecified anterior cerebral artery,146,
2990,I63331,Cerebral infarction due to thrombosis of right posterior cerebral artery,146,
2991,I63332,Cerebral infarction due to thrombosis of left posterior cerebral artery,146,
2992,I63333,Cerebral infarction due to thrombosis of bilateral posterior cerebral arteries,146,
2993,I63339,Cerebral infarction due to thrombosis of unspecified posterior cerebral artery,146,
2994,I63341,Cerebral infarction due to thrombosis of right cerebellar artery,146,
2995,I63342,Cerebral infarction due to thrombosis of left cerebellar artery,146,
2996,I63343,Cerebral infarction due to thrombosis of bilateral cerebellar arteries,146,
2997,I63349,Cerebral infarction due to thrombosis of unspecified cerebellar artery,146,
2998,I6339,Cerebral infarction due to thrombosis of other cerebral artery,146,
2999,I6340,Cerebral infarction due to embolism of unspecified cerebral artery,146,
3000,I63411,Cerebral infarction due to embolism of right middle cerebral artery,146,
3001,I63412,Cerebral infarction due to embolism of left middle cerebral artery,146,
3002,I63413,Cerebral infarction due to embolism of bilateral middle cerebral arteries,146,
3003,I63419,Cerebral infarction due to embolism of unspecified middle cerebral artery,146,
3004,I63421,Cerebral infarction due to embolism of right anterior cerebral artery,146,
3005,I63422,Cerebral infarction due to embolism of left anterior cerebral artery,146,
3006,I63423,Cerebral infarction due to embolism of bilateral anterior cerebral arteries,146,
3007,I63429,Cerebral infarction due to embolism of unspecified anterior cerebral artery,146,
3008,I63431,Cerebral infarction due to embolism of right posterior cerebral artery,146,
3009,I63432,Cerebral infarction due to embolism of left posterior cerebral artery,146,
3010,I63433,Cerebral infarction due to embolism of bilateral posterior cerebral arteries,146,
3011,I63439,Cerebral infarction due to embolism of unspecified posterior cerebral artery,146,
3012,I63441,Cerebral infarction due to embolism of right cerebellar artery,146,
3013,I63442,Cerebral infarction due to embolism of left cerebellar artery,146,
3014,I63443,Cerebral infarction due to embolism of bilateral cerebellar arteries,146,
3015,I63449,Cerebral infarction due to embolism of unspecified cerebellar artery,146,
3016,I6349,Cerebral infarction due to embolism of other cerebral artery,146,
3017,I6350,Cerebral infarction due to unspecified occlusion or stenosis of unspecified cerebral artery,146,
3018,I63511,Cerebral infarction due to unspecified occlusion or stenosis of right middle cerebral artery,146,
3019,I63512,Cerebral infarction due to unspecified occlusion or stenosis of left middle cerebral artery,146,
3020,I63513,Cerebral infarction due to unspecified occlusion or stenosis of bilateral middle cerebral arteries,146,
3021,I63519,Cerebral infarction due to unspecified occlusion or stenosis of unspecified middle cerebral artery,146,
3022,I63521,Cerebral infarction due to unspecified occlusion or stenosis of right anterior cerebral artery,146,
3023,I63522,Cerebral infarction due to unspecified occlusion or stenosis of left anterior cerebral artery,146,
3024,I63523,Cerebral infarction due to unspecified occlusion or stenosis of bilateral anterior cerebral arteries,146,
3025,I63529,Cerebral infarction due to unspecified occlusion or stenosis of unspecified anterior cerebral artery,146,
3026,I63531,Cerebral infarction due to unspecified occlusion or stenosis of right posterior cerebral artery,146,
3027,I63532,Cerebral infarction due to unspecified occlusion or stenosis of left posterior cerebral artery,146,
3028,I63533,Cerebral infarction due to unspecified occlusion or stenosis of bilateral posterior cerebral arteries,146,
3029,I63539,Cerebral infarction due to unspecified occlusion or stenosis of unspecified posterior cerebral artery,146,
3030,I63541,Cerebral infarction due to unspecified occlusion or stenosis of right cerebellar artery,146,
3031,I63542,Cerebral infarction due to unspecified occlusion or stenosis of left cerebellar artery,146,
3032,I63543,Cerebral infarction due to unspecified occlusion or stenosis of bilateral cerebellar arteries,146,
3033,I63549,Cerebral infarction due to unspecified occlusion or stenosis of unspecified cerebellar artery,146,
3034,I6359,Cerebral infarction due to unspecified occlusion or stenosis of other cerebral artery,146,
3035,I636,"Cerebral infarction due to cerebral venous thrombosis, nonpyogenic",146,
3036,I638,Other cerebral infarction,146,
3037,I6381,Other cerebral infarction due to occlusion or stenosis of small artery,146,
3038,I6389,Other cerebral infarction,146,
3039,I639,"Cerebral infarction, unspecified",146,
3040,I670,"Dissection of cerebral arteries, nonruptured",154,
3041,I671,"Cerebral aneurysm, nonruptured",149,
3042,I69031,Monoplegia of upper limb following nontraumatic subarachnoid hemorrhage affecting right dominant side,151,
3043,I69032,Monoplegia of upper limb following nontraumatic subarachnoid hemorrhage affecting left dominant side,151,
3044,I69033,Monoplegia of upper limb following nontraumatic subarachnoid hemorrhage affecting right non-dominant side,151,
3045,I69034,Monoplegia of upper limb following nontraumatic subarachnoid hemorrhage affecting left non-dominant side,151,
3046,I69039,Monoplegia of upper limb following nontraumatic subarachnoid hemorrhage affecting unspecified side,151,
